,TITLE,PR DESCRIPTION,PROPOSAL,COMMENTS
41,Building C extensions in Ruby,"From time to time, when building Ruby apps, you realise there are no libraries available for what you need. Even worse, Ruby doesn't quite perform as quickly as we would expect in certain areas. There are, however, a lot of high performance, mature technologies built in C that can easily be ported to be used with Ruby. By doing this, we get to keep using our favourite language, opening it to a plethora of applications that were not possible before, and still keep things snappy.
In this talk, I will walk you through the ins and outs of building Spyglass, an OpenCV binding for Ruby. I will also talk in detail about some gotchas (memory management, lack of threading), good practices (C objects as first class citizens, how to properly test extensions), why `mkmf` needs to be retired and some great examples of extensions you probably already use and should be looking at.","# Building C extensions in Ruby

From time to time, when building Ruby apps, you realise there are no libraries available for what you need. Even worse, Ruby doesn't quite perform as quickly as we would expect in certain areas. There are, however, a lot of high performance, mature technologies built in C that can easily be ported to be used with Ruby. By doing this, we get to keep using our favourite language, opening it to a plethora of applications that were not possible before, and still keep things snappy.

In this talk, I will walk you through the ins and outs of building Spyglass, an OpenCV binding for Ruby. I will also talk in detail about some gotchas (memory management, lack of threading), good practices (C objects as first class citizens, how to properly test extensions), why `mkmf` needs to be retired and some great examples of extensions you probably already use and should be looking at.",
42,Analytics for the busy ruby developer,"Our applications have the potential to produce a lot of data. Every time a user clicks a button, buys something, or our application does any number of things we have the opportunity to gain useful insights. But where do you begin? Should I gather every data point I can think of? What tools work the best? There is a lot of talk and hype about analytics. In this session, let's take a look at what goes into mining data and analyzing the insights. We'll discuss different approaches to gathering, storing, and querying data, how to determine the KPIs to focus on, and how to interpret and use information in meaningful ways. While you may not be a statistician, see how some basic statistics can help you to start to wrangle your data.","# Analytics For The Busy Ruby Developer

Our applications have the potential to produce a lot of data. Every time a user clicks a button, buys something, or our application does any number of things we have the opportunity to gain useful insights. But where do you begin? Should I gather every data point I can think of? What tools work the best? There is a lot of talk and hype about analytics. In this session, let's take a look at what goes into mining data and analyzing the insights. We'll discuss different approaches to gathering, storing, and querying data, how to determine the KPIs to focus on, and how to interpret and use information in meaningful ways. While you may not be a statistician, see how some basic statistics can help you to start to wrangle your data.",
44,GitHub Enterprise's toolchain,"Have you ever wonder what it takes to turn your SaaS into an On-Premise project? At GitHub, we've develop a series of tools to help us build, test and release GitHub Enterprise in a matter of minutes.

This talk is about the internal infrastructure that we've built to support GitHub Enterprise. We'll talk about our testing cloud and how we do continuous integration for an on-premise product. We'll also talk about patterns that we've found useful and things that didn't work out that well. We'll show the tooling that makes all this possible and how it integrates with Hubot to allow the Enterprise team to collaborate.
","# GitHub Enterprise's toolchain

Have you ever wonder what it takes to turn your SaaS into an On-Premise project? At GitHub, we've develop a series of tools to help us build, test and release GitHub Enterprise in a matter of minutes.

This talk is about the internal infrastructure that we've built to support GitHub Enterprise. We'll talk about our testing cloud and how we do continuous integration for an on-premise product. We'll also talk about patterns that we've found useful and things that didn't work out that well. We'll show the tooling that makes all this possible and how it integrates with Hubot to allow the Enterprise team to collaborate.",
45,Tales Of Interest,"So you want to be an open source contributor? Think you can handle supporting
multiple rubies, tracking down weird bugs, stomaching all that the wider developer
eco system can throw at you? Well good reader, I can tell you stories that will
turn your stomach, and blind your eyes.

Let me take you on a journey deep into the depths of open source triage and
follow the kind of madness that comes from tracking down bugs across differing
versions of Ruby and VMs.

Finally let me entertain you with stories of the perils of dogfooding your
testing framework, and throw in some stories about the kind of hackery you
can commit with a bit of mischievousness.","# Tales Of Interest

So you want to be an open source contributor? Think you can handle supporting
multiple rubies, tracking down weird bugs, stomaching all that the wider developer
eco system can throw at you? Well good reader, I can tell you stories that will
turn your stomach, and blind your eyes.

Let me take you on a journey deep into the depths of open source triage and
follow the kind of madness that comes from tracking down bugs across differing
versions of Ruby and VMs.

Finally let me entertain you with stories of the perils of dogfooding your
testing framework, and throw in some stories about the kind of hackery you
can commit with a bit of mischievousness.",
46,The Ethical Programmer,"Programmers have great power to shape our world. Other professions have ethics boards and revocable professional licenses to bring responsibility to that power. We do not. Therefore, we must educate ourselves in ethical thinking.
This talk covers methods in ethics both historical and modern. It then applies those methods to some recent problems. Possible thorny issues include:
 * triage and bug fixing
 * visualization of data: Customer Satisfaction reports
 * features with negative externalities: LinkedIn Intro
 * prioritization: the best minds of our generation optimizing ad-revenue","# The Ethical Programmer

Programmers have great power to shape our world. Other professions have ethics
boards and revocable professional licenses to bring responsibility to that
power. We do not. Therefore, we must educate ourselves in ethical thinking.

This talk covers methods in ethics both historical and modern. It then applies
those methods to some recent problems. Possible thorny issues include:

 * triage and bug fixing
 * visualisation of data: Customer Satisfaction reports
 * features with negative externalities: LinkedIn Intro
 * prioritisation: the best minds of our generation optimising ad-revenue",
48,Standing on the shoulders of giants,"We take for granted the wealth of knowledge and wisdom that goes into each library we use within our programs. Many of the them we use today are built on top of libraries that have existed much longer than most of us have been programming in Ruby.
Allow me to guide you through some of these unusual and mysterious libraries that are made available in every Ruby installation. I'm talking about the standard library, which has largely been apart of the Ruby ecosystem since before gems were available.
There's around ~70MB of code in every installation, and it's just waiting for those eager to explore and discover what the pioneers of Ruby have provided for us.","# Standing on the shoulders of giants

We take for granted the wealth of knowledge and wisdom that goes into each library we use within our programs. Many of the them we use today are built on top of libraries that have existed much longer than most of us have been programming in Ruby.

Allow me to guide you through some of these unusual and mysterious libraries that are made available in every Ruby installation. I'm talking about the standard library, which has largely been apart of the Ruby ecosystem since before gems were available.

There's around ~70MB of code in every installation, and it's just waiting for those eager to explore and discover what the pioneers of Ruby have provided for us.",
49,Beyond the Monorail: Rails' place in the future of web development,My proposal for the super rad RubyconfAU 2014 woo!,"# Beyond the Monorail: Rails' place in the future of web development

The nature of the web is shifting, and the time where Rails was a one-stop-shop for most web applications has passed. At the same time, the complexity of front-end web development has exploded, and Rails developers are finding themselves only solving one part of a wider problem.

This talk is about the wider web development landscape, where it's headed, and how Rails fits in. We'll look at the increasing demands of ambitious web apps, the new projects Rails developers should be aware of, and which areas Rails and Ruby still reigns supreme.",
50,MRI Magic Tricks,"Join me as we dive under the hood and take a rip-roaring tour of the internals of Ruby's canonical implementation.
This talk will have you hanging on the edge of your seat as we push the very limits of the Ruby language and take advantage of a few interesting bugs to do things you never thought were possible.
You'll laugh, you'll cry, and hopefully you'll come away from this talk with some fresh knowledge on just what makes Ruby tick.
","# MRI Magic Tricks

Join me as we dive under the hood and take a rip-roaring tour of the internals of Ruby's canonical implementation.

This talk will have you hanging on the edge of your seat as we push the very limits of the Ruby language and take advantage of a few interesting bugs to do things you never thought were possible.

You'll laugh, you'll cry, and hopefully you'll come away from this talk with some fresh knowledge on just what makes Ruby tick.",
51,Ruby is not for Entrepreneurs,"So one day I had this brilliant idea _'If I could spin up a bunch of free instances on Amazon, and run everyones codes on there, I could make a Continuous Integration service that doesn't suck'_ (2010) — this was actually one of the stupidest ideas I've ever had, and this talk will teach you how not to have such stupid ideas, and how not to use Ruby to build your grand Entrepreneurial ideas for a startup.","# Ruby is not for Entrepreneurs

In the Ruby Community there are a lot of Entrepreneurs building amazing things, maybe because Ruby makes developers happy, or because the tooling make you more productive, either way I turned out to be one of them and lined myself up for failure.

This is the story of why quitting my day job and building a distributed Continuous
Integration service in Ruby was a bad idea and where it all went wrong, and how you can stop yourself making the same mistakes even on the project your building right now.",
52,How I architected my big Rails app for success!,,"# How I architected my big Rails app for success

Rails is a great framework for creating web apps... for awhile. What do you do when your codebase grows large? How do you handle large teams of developers? When performance becomes an issue, how do you scale? Most importantly, how do you write code which can easily be refactored later?

This is a story of a real life project built from day 1 with all these questions in mind. Learn about the problems we solved and lessons we learned: how to partition your Rails app into distinct modular engines, how to speed up your test suite by only running code effected by your changes, how to add a layer on top of ActiveRecord to enforce loose coupling, and many other patterns that can be applied to your own Rails apps!",
53,Can Ansible Replace Capistrano?,"Ansible can be used for configuration management like Chef and Puppet. It can also be used for application deployment like Capistrano.  

In this talk, we will investigate the advantages of using one tool for configuration management and application deployment.","# Can Ansible Replace Capistrano?

[Ansible](http://www.ansibleworks.com/) can be used for configuration managment like Chef and Puppet. It can also be used for application deployment like Capistrano.  

In this talk, we will investigate the advantages of using one tool for configuration management and application deployment.

Are all the Capistrano features available in Ansible? How do I convert my recipes to Ansible playbook? These are some of the questions we will answer during the talk.",
54,Battlefield: Legacy Applications,"# Battlefield: Legacy Applications
Let me take you on a journey of maintaining a 'mission critical' legacy application, a huge refactoring, and a happy ending. We will come across pitfalls, duct tape, architectural and organisational issues. Although you'll feel a little bit dirty at the end, there won't be any SOAP.
#### Background
This talk is based on my experience of the past 18 months working with [Bulletproof](http://www.bulletproof.net) in Sydney. I inherited an Rails application that had grown from a single purpose app to the company's CRM application, under the pressure of a rapidly growing business.
As if this wasn't challenging enough, the CRM application had been built on top of another legacy Perl system that dates back more than a decade ago. Although these mostly internal applications don't experience much load, they are still very critical to Bulletproof's business. ","# Battlefield: Legacy Applications

Let me take you on a journey of maintaining a ""mission critical"" legacy application, a huge refactoring, and a happy ending. We will come across pitfalls, duct tape, architectural and organisational issues. Although you'll feel a little bit dirty at the end, there won't be any SOAP.

#### Background

This talk is based on my experience of the past 18 months working with [Bulletproof](http://www.bulletproof.net) in Sydney. I inherited an Rails application that had grown from a single purpose app to the company's CRM application, under the pressure of a rapidly growing business.

As if this wasn't challenging enough, the CRM application had been built on top of another legacy Perl system that dates back more than a decade ago. Although these mostly internal applications don't experience much load, they are still very critical to Bulletproof's business. ",
55,The 7 Habits of Highly Effective Coders,,"# The 7 Habits of Highly Effective Coders

Inspired by the book, [The 7 Habits of Highly Effective People](http://www.amazon.com/The-Habits-Highly-Effective-People/dp/0743269519), this talk will cover 7 habits that great coders often employ (or perhaps should employ) when working professionally or for fun.
Covering the technical to the social and the psychological, the 7 Habits of Highly Effective Coders will help coders deliver great code, stay focused, remain highly employable
and maintain a good code-life balance.

_Be warned, some of these habits might not be what you expect!_",
56,Testing Mobile apps with Ruby,,"# Testing Native Mobile Apps with Ruby
Testing is so ingrained in our culture we have it down to Scientific Formula:  

_Testing + Methods = RSpec_

_Testing + Web Apps = Capybara & Selenium_

_Testing + Native Mobile Applications = ... What!?_

Wouldn't it be great to be able to test native mobile apps using familiar tools and processes?  Yes.  Yes it would.  Which is what tools like [Appium](http://www.appium.io) are all about.
Let's take a course in how Appium makes testing native mobile apps as easy as testing web apps (_psst: It's just Selenium_).  We'll explore how Appium works, how to get your apps ready for testing, and best practices for running mobile tests.",
57,The Mysterious Fog Particles,,"# The Mysterious Fog Particles

Fog particles are mysterious - they're in front of us in our code and we can't see them! Fog particles corrupt our code and often unknowingly we add lot of them in our code. What's worse is that when we identify them in our ""cloudy source code"", we can't get rid of them easily. 

This talk is about, 
* What are these mysterious fog particles?
* How do we add these fog particles to our code without realizing it?
* How can we indentify and remove them?
* How can we make our code cleaner and less complex?

Generally these mysterious fog particles are complex code snippets that are generated by our own (bad) coding practices, thereby spoiling our code quality.  I am going to walk you through different gems that can smell out these mysterious fog particles in our code and discuss various coding practices to avoid creating fog particles and ways to reduce these particles and ultimately turn a bad code into a good one.",
58,Rack - A Framework to roll your own,,"# Rake : A Framework to Roll your own

What is common between Rails, Sinatra and numerous other Ruby frameworks?

They are built on top of Rack or have Rack interfaces for allowing application servers to connect to them.

A deep-dive of sorts on Rack and see what it takes to build a framework, helping us understand these better and ultimately rolling our own.

Almost anyone doing a Ruby app ends up using Rack in one way or the other without ever realizing the magic and simplicity that it provides. This session should help decoding that and provide ways on writing your own frameworks.",
59,Design apis service better,My proposal for RubyConf Australia 2014,"# Design APIs Service better

Recently more and more backend servers are built to provide http api, to serve rich javascript application, ios and android apps. So it's important to define the http apis between server developers and client developers, between companies and third party developers.

This talk will show you how to design a better api service, including authentication, versioning, error handling, etc.",
60,Responsible Security Reporting and Disclosure: Why and How?,"We all have been through this; Someone uploaded a exploited gem to RubyGems just to show that RubyGems has a security issue, someone posted an issue on GitHub just to get an attention from the core team members, someone post a link to a Gist on how to exploited something on Hacker News just to prove that it's possible, or someone just cut a security release without a proper security advisory on Friday evening when everybody left their work.

As a community, I believe that we can be better than this. We can all learn together on how to do security reporting and disclosing in a right way. Be responsible, polite, and respectful to everyone so that we're not ruining anyone's day when a vulnerability has been exposed.","# Responsible Security Reporting and Disclosure: Why and How?

Zero day vulnerability! Security release! Update now! Everybody hates to see a
release announcement with those words in it, especially when they can't do
anything until the official release is out. As a community, we should learn how
to report a security issue in the right way, and also how to correctly release
a patched version out to the public so that it will affect others as little as
possible.

This talk will cover various toptic regarding security reporting and
disclosing, and why you should do it right. I'm going to talk about how to
report security vulnerability you've found, how to contact the maintainer of
the gem, how to submit a patch discreetly, and how not to do a security report.
For the disclosure, I'm going to talk about how to respond to the
reporter, how to obtain a CVE for the vulnerability, where should you do a
security announcement, and how you should release your fixes.",
61,Beyond Platform As A Service (PaaS),"When it comes to deploying web applications most Rubysts turn to Plaform as a Service (PaaS) solutions like Heroku and Engine Yard which is cool, but it has it's limitations. Let's level up!
In this session I am going to show you how to roll your own IaaS cloud environment for maximum flexibility and control. I will use the popular fog gem to demonstrate how to do the following:
Create a server
Configure this server with chef
Configure a load balancer
Configure a custom network
Along the way, I will demonstrate how fog works and provide you with a sample template that can be applied to all of your projects.","# Beyond Platform As A Service (PaaS)

When it comes to deploying web applications most Rubysts turn to Plaform as a Service (PaaS) solutions like Heroku and Engine Yard which is cool, but it can limit the gems and external processes you can use. Let's level up! 

In this session I am going to show you how to roll your own IaaS cloud environment for maximum flexibility and control. I will use the popular fog gem to demonstrate how to do the following:

* Create a server
* Configure this server with chef
* Configure a load balancer
* Configure a custom network

Along the way, I will demonstrate how fog works and provide you with a sample template that can be applied to all of your projects.",
62,Dear Everyone: Let's Contribute to Open Source!,"It has been a while since I started contributing to open source, and I have to say that the starting process is not really that smooth. Every time I'm giving a talk at several places, people was keep asking me on how I started contributing to an open source. I believe There are a lot of things you need to do to get started, and you might probably get tired of it and give up if you didn't get it right the first time. I'd like this talk to encourage and inspire more people to contribute to an open source project, by giving them the idea on how to get started and how it should be done.
Also, as a maintainer of two gems, I think I would like to spread the word as well on how to lower the barrier to contribution. That way, new people could easily get started when they wanted to contribute back to the community, like I did.","# Dear Everyone: Let's Contribute to Open Source!

Hey You. Yes You. How long has it been since you started using Ruby? It has
been a while, right? And you think it's time for you to giving back to the
community, right? Great, let's talk!

In this talk, we'll discuss about the ultimate question: ""How can I contribute
to an Open Source"". I'll tell you about how to properly started contributing to
a project, how to find something to do, how to write a good patch that will
make the maintainers fall in love with you (or, say, merge your patch in), and
what not to do while submit your patches. Also, if you have your own gem, I'm
going to talk about what you should do to make the contribution process easier,
lowering the barrier to entry, and how to make the contributor constantly
contributing to your project.",
63,Building for iOS and OS X with Ruby (RubyMotion is Awesome!),"The world of developing iOS and OS X applications can be a scary one. Objective-C is a bizzare looking language for most Ruby developers, Xcode is a complex tool and learning to use all the parts you need can be really hard, and then there is the frameworks... THERE IS SO MANY OF THEM!
We can get past this though, and bring our amazing Ruby skills to make things for those shiny Apple products we love so much. RubyMotion has opened up a whole new world of opportunities, and it's terminal workflow means you get to avoid Xcode for almost everything. All that's left is for me to show you how to get setup, show you the tools, give you an introduction to the frameworks and wrappers we can use, and show you places to learn more.","# Building for iOS and OS X with Ruby (RubyMotion is Awesome!)

The world of developing iOS and OS X applications can be a scary one. Objective-C is a bizzare looking language for most Ruby developers, Xcode is a complex tool and learning to use all the parts you need can be really hard, and then there is the frameworks... THERE IS SO MANY OF THEM!

We can get past this though, and bring our amazing Ruby skills to make things for those shiny Apple products we love so much. RubyMotion has opened up a whole new world of opportunities, and it's terminal workflow means you get to avoid Xcode for almost everything. All that's left is for me to show you how to get setup, show you the tools, give you an introduction to the frameworks and wrappers we can use, and show you places to learn more.

## Jack Watson-Hamblin (a.k.a FluffyJack)

Jack spends most of his days contracting with agencies and companies building all kinds of goodies for all sorts of platforms. He is currently contracting to NBN Co, the company behind the National Broadband Network rollout, on their continuous improvement team for the website and online forms.

He has recently begun creating screencasts about his adventures with RubyMotion, and has found a small group of 20 subscribers together to help him get the screencasts focused on the important topics and on important ""features"" of the screencast, like every episode being done using behavior driven development.

![Profile picture](https://raw.github.com/FluffyJack/rubyconfau-2014-cfp/master/talk-jack_watson_hamblin-building_for_ios_and_osx_with_ruby_rubymotion_is_awesome/profile_picture.jpg)

- [My website](http://www.fluffyjack.com)
- [My twitter](https://twitter.com/FluffyJack)",
64,Go for the Rubyist,"Why are so many Rubyists buzzing about Go? This hot new language that grew out of Google just a few years ago is taking the world by storm and is generating a lot of buzz in the Ruby community.
In this talk we'll look at the highlights of Go and try and figure out what the hype is all about, and we'll do with a keen Rubyist eye. We'll also look at where it would make sense in our Ruby/Rails projects to extend them with this highly concurrent, and performant language.
What do you say my fellow Rubyists; are you up for the challenge of learning something a bit different?","# Go for the Rubyist

Why are so many Rubyists buzzing about Go? This hot new language that grew out of Google just a few years ago is taking the world by storm and is generating a lot of buzz in the Ruby community.

In this talk we'll look at the highlights of Go and try and figure out what the hype is all about, and we'll do with a keen Rubyist eye. We'll also look at where it would make sense in our Ruby/Rails projects to extend them with this highly concurrent, and performant language.

What do you say my fellow Rubyists; are you up for the challenge of learning something a bit different?
",
65,Security Engineering in Ruby,"Believe it or not, proper application security isn't just for banks or the NSA. Recent high-profile attacks have cost web companies millions of dollars and thousands of users. These attacks beg the question, how should you protect your business and customers? You are probably salting your hashes and encrypting your traffic already, but there are much more fundamental elements of Ruby application security that you should employ throughout the development process.

Rather than dive into specifics like what-is-ssl or what-is-the-most-secure-hash-function, I will cover the most important tenets of security engineering such as educating your team, identifying attack surfaces, and utilizing the principle of least privilege--just to name a few. After explaining why a tenet is vital, I will show you how to apply it to your Ruby development processes.","# Security Engineering in Ruby

Believe it or not, proper application security isn't just for banks or the NSA.
Recent high-profile attacks have cost web companies millions of dollars and
thousands of users. These attacks raise the question, how should you protect your
business and customers? You are probably salting your hashes and encrypting your
traffic already, but there are much more fundamental elements of Ruby application
security that you should employ throughout the development process.

Rather than dive into specifics like what-is-ssl or
what-is-the-most-secure-hash-function, I will cover the most important tenets of
security engineering such as educating your team, identifying attack surfaces,
and utilizing the principle of least privilege--just to name a few. After
explaining why a tenet is vital, I will show you how to apply it to your Ruby
development processes.

This talk is aimed at Ruby developers of any level. You will come out of this
talk knowing the core principles of security engineering and how to bring this
knowledge back and implement on your dev team.",
66,Intro to Graph Databases,"Graph databases have increasingly become more popular when operating on highly interconnected data sets such as social network graphs and data powering recommendation engines.
Working with Ruby and some of the more popular graph databases, we will cover the definition of a graph database and explore some common scenarios in which graph databases can really shine over their traditional SQL and noSQL counterparts.","#Intro to Graph Databases
Graph databases have increasingly become more popular when operating on highly interconnected data sets such as social network graphs and data powering recommendation engines.

Working with Ruby and some of the more popular graph databases, we will cover the definition of a graph database and explore some common scenarios in which graph databases can really shine over their traditional SQL and noSQL counterparts.",
67,Writing Games with Entity Systems and JRuby,"Entity Systems are a relatively new style of software development that came out of the game industry to avoid some of the common architectural pitfalls of Object Oriented programming when developing games, and attempt to provide a much cleaner separation between aspects such as rendering, physics, AI and other parts of a game's ecosystem.
In this talk we'll live code a simple game with JRuby and libGDX and provide it with some interactivity and physics so you can get a feel for how Entity Systems work, and inspire you with your own game architectures.  Not only limited to games, this talk should also make you think about how you design other types of software that have a view layer powered by a highly dynamic data set.","#Writing Games with Entity Systems and JRuby
Entity Systems are a relatively new style of software development that came out of the game industry to avoid some of the common architectural pitfalls of Object Oriented programming when developing games, and attempt to provide a much cleaner separation between aspects such as rendering, physics, AI and other parts of a game's ecosystem.

In this talk we'll live code a simple game with JRuby and libGDX and provide it with some interactivity and physics so you can get a feel for how Entity Systems work, and inspire you with your own game architectures.  Not only limited to games, this talk should also make you think about how you design other types of software that have a view layer powered by a highly dynamic data set.",
68,Teach Your Way To Better Code.,How teaching everything you know actually makes you a better developer.,"# Teach Your Way To Better Code

You may have this vague sense that you don't know Ruby as well as you think you do.
And you worry that you're not learning and growing as a developer in your day job
as much as you did when you first picked up Ruby. Perhaps you've lost that spark
of excitement you experienced when you discovered new ways to solve problems with Ruby.

There is a way to re-invigorate your code and coding practices. Teach everything you know.

This talk will focus on some of the principals of teaching and why it can be an effective
tool, not only for others to learn, but for you as the teacher to really deepen your
knowledge of the subject. It will be specifically centered around using Ruby, and some of
the ways I have discovered work well for teaching it as a first programming language.",
69,Event Based Programming with Vert.x and JRuby,"[Vert.x](http://vertx.io/) is a polyglot, lightweight, high performance application platform for the JVM that provides a non blocking, asynchronous event based programming model in a simple and scalable way.
In this talk we will look at how you can take your regular Ruby code and Gems and combine them with Vert.x's module system to build a highly concurrent system without leaving your favourite language.
","#Event Based Programming with Vert.x and JRuby
[Vert.x](http://vertx.io/) is a polyglot, lightweight, high performance application platform for the JVM that provides a non blocking, asynchronous event based programming model in a simple and scalable way.

In this talk we will look at how you can take your regular Ruby code and Gems and combine them with Vert.x's module system to build a highly concurrent system without leaving your favourite language.",
70,Using Rubytus to power resumable file uploads for your API,Using Rubytus to power resumable file uploads for your API,"# Rubytus: Resumable File Uploads with Tus.io
Users want to share more and more photos and videos. But mobile networks are fragile. Platform APIs are a mess. Every project builds its own file uploader. [Tus.io](http://tus.io) is an open protocol to fix the mess that developers are facing developing APIs for mobile.

Rubytus is a ruby gem, built by the team at [PicoCandy](http://picocandy.com), that implements the tus server protocol built on top of Goliath, a non-blocking (asynchronous) Ruby web server framework.

Resumable file upload should just work in the 21st century and developers shouldn't have to worry resuming file uploads from their web and mobile apps. In the 45 minutes that I has, I will introduce the Tus protocol and talked about the development of Rubytus. Finally, I will show how you can integrate Rubytus into your API using [Grape](https://github.com/intridea/grape).
",
71,Search and You Will Find,"Resubmitting just to make things easier.
![fist-bump](https://f.cloud.github.com/assets/126967/1445380/3a826358-421f-11e3-9aa7-0e24bb578071.gif)
","## Search and You Will Find
### Information Retrieval in your web app
In modern applications, search is becoming a feature which users come to
expect. Not only that, having been spoiled by google pouring money at the
problem of search, users expect search to perform well.

Being rubyists and not information retrieval specialists, it can be hard to work
out why our chosen search solution doesn't work like we expect it to. Be it Sphinx, 
Solr, ElasticSearch, Postgres fulltext or `SELECT ... LIKE` queries that's not
always our jam and it can seem a bit like a dark art.

This talk goes into some first principles of information retrieval and at the
other end we will have a firm grounding in how to apply these practically to
whatever search solution you use to improve the experience of your users.

We'll use real-world examples, do some live demos and work through some user
stories in our journey towards better search.

Topics include:
 - Recall vs precision
 - Useful measures of quality
 - Tokenisation and analysis
 - Autocomplete/Typeahead
 - Ranking and scoring
 - Query parsing
 - Filtering
 - Context awareness",
72,First Commit: Getting into open source,"![nodding](https://f.cloud.github.com/assets/126967/1445387/5a7c9994-421f-11e3-8543-dab3e66534f7.gif)
","## First Commit:
### Getting into open source

Open source software is a wonderful thing, but it's a daunting idea as you
start out. In this talk we'll look at different ways of getting into open
source and how to do it well.

There will be stories about how prominent open source contributors started out,
and feedback from project maintainers. We'll also take time to cover open source
ettiquette and how to make the most valuable contributions no matter whether
you're a green horn or an old hand.",
73,Hammer People,"![tumblr_md1tjfyr3b1qgqj2zo1_500](https://f.cloud.github.com/assets/126967/1445394/905c101c-421f-11e3-8861-87a2168f9230.gif)
","## Hammer People:
### Things I've Learned From Talking to Rubyists

Rubyists are an interesting bunch. Even in our name is an interesting fact: we
identify ourselves by our tool. It's like calling ourselves hammer people.

In this talk, we'll look at some of the things about the Ruby community that
make it a wonderful community and some things that we could do to work on.
Based mostly on stories and from interviews collected in the last year, we'll
be embracing what it is to be a Rubyist, and how that might change.",
74,Freelancing and Open Source talk proposal,"Software freelancing can be a great deal of fun but it can also be all consuming.
The ability to work as much or as little as you need to can lead to extremes in each direction, either at the cost of profitability or at the exclusion of any open source at all.
In this talk I will discuss strategies that I have used to manage my time more effectively and maintain a positive work and life balance.  This will include the tools that I use, the processes that I try to follow and the attempts that I've made to separate the expectations and the disappointments of the open source software projects' users from my personal wellbeing while also remaining interested and motivated.","# Freelancing and open source

Software freelancing can be a great deal of fun but it can also be all consuming.
The ability to work as much or as little as you need to can lead to extremes in each direction, either at the cost of profitability or at the exclusion of any open source at all.

In this talk I will discuss strategies that I have used to manage my time more effectively and maintain a positive work and life balance.  This will include the tools that I use, the processes that I try to follow and the attempts that I've made to separate the expectations and the disappointments of the open source software projects' users from my personal wellbeing while also remaining interested and motivated.",
75,It's just...,"It's just a quick fix’
‘It's just software’
‘It's just…'

How many times have we heard an employer, client or co-worker utter those famous last words, ‘It's just…' this, ‘It's just…’ that, when talking about the latest change they wish to make to our already creeking or over-burdened application.

But what if it was?

In the age of Ruby growing pains and monolithic Rails applications, smaller
is better. Let's talk about how breaking things down into smaller units, smaller
services and components brings us benefits. Examine how we can use composition
not inheritance or mixins to build smaller classes, faster tests and better
designed applications.","It's just a quick fix’
‘It's just software’
‘It's just…'

How many times have we heard an employer, client or co-worker utter those famous last words, ‘It's just…' this, ‘It's just…’ that, when talking about the latest change they wish to make to our already creeking or over-burdened application.

But what if it was?

In the age of Ruby growing pains and monolithic Rails applications, smaller
is better. Let's talk about how breaking things down into smaller units, smaller
services and components brings us benefits. Examine how we can use composition
not inheritance or mixins to build smaller classes, faster tests and better
designed applications.",
76,Radioactive Hamsters,Talk about Capybara's internals.,"# Radioactive Hamsters

Capybara shows up in many toolkits, taking away the pain and verbosity of functional testing.  It's a fantastic tool... But do you know _how it works_?

Let's explore Capybara together!  We'll see the driver lifecycle, learn how the DSL is interpreted, and ~~steal~~learn some of the clever code tricks to use for ourselves.  We'll also look at creating custom drivers, and some of the hurdles faced when extending the Capybara DSL or features.

Capybara is flexible, powerful and full of elegant, clever code.  I learned a great deal from integrating with it -- You will too.",
77,Use case driven development,I'm only submitting one talk to this conference because I think this is the most important issue facing our community when it comes to maintainable applications.,"# Application Architecture: Boundaries, Object Rules & Patterns

This talk is about something important in the community. The ruby
community is missing something fundamentally important. We don't know
how to architect applications. We've grown accustomed to using
frameworks for everything and we've lost our way. We no longer talk
about making applications, we speak about applications build _in_
frameworks. Example: oh hey man, did you hear NewApp123 is built _in_
rails? I take offense to that. The application is not built in rails,
it's built in _ruby_ than rails is _used_ to put it online. This
mentality is prevalent in the community. It's damaging and encourages
technical debt.

My talk is about providing a new architecture based on solid OOP
principles such as the boundary between objects, SRP, proper logic
less views, application patterns, and good testing principles. All of
this in name of changing the way we write and maintain applications.

The talk follows this format:

* Introduction
* System Design: Object roles, boundaries, protocols, patterns, and delivery mechanisms
* TDD implementation of use cases, forms, models, and other object roles
* TDD implementation of HTTP delivery mechanism using Sinatra
* Problems withs Rails & Rails style MVC approach to web applications
* The ideal stack: calling out gems that exemplify qualities mentioned earlier
* Wrap up & conclusion
* How to migrate and redesign current systems

Note: the paper will have been published well before the conference.",
78,Adventures in Creating a Career.,This is a talk providing advice based on my 20 years of experience as a developer.,"# Adventures in Creating a Career

As developers, we're required to be on the very edge of technological innovation to remain competitive and relevant. Managing our technical skills is just something we need to do. But what about managing our careers? How do we put ourselves in the position to take advantage of opportunities without being taken advantage of ourselves? In this talk, Sean will detail lessons learned through his own experiences during his 20-year development career in the hope that you can avoid some of his mistakes.",
