,TITLE,PR DESCRIPTION,PROPOSAL,COMMENTS
61,Beyond Platform As A Service (PaaS),"When it comes to deploying web applications most Rubysts turn to Plaform as a Service (PaaS) solutions like Heroku and Engine Yard which is cool, but it has it's limitations. Let's level up!
In this session I am going to show you how to roll your own IaaS cloud environment for maximum flexibility and control. I will use the popular fog gem to demonstrate how to do the following:
Create a server
Configure this server with chef
Configure a load balancer
Configure a custom network
Along the way, I will demonstrate how fog works and provide you with a sample template that can be applied to all of your projects.","# Beyond Platform As A Service (PaaS)

When it comes to deploying web applications most Rubysts turn to Plaform as a Service (PaaS) solutions like Heroku and Engine Yard which is cool, but it can limit the gems and external processes you can use. Let's level up! 

In this session I am going to show you how to roll your own IaaS cloud environment for maximum flexibility and control. I will use the popular fog gem to demonstrate how to do the following:

* Create a server
* Configure this server with chef
* Configure a load balancer
* Configure a custom network

Along the way, I will demonstrate how fog works and provide you with a sample template that can be applied to all of your projects.


## Kyle Rames

Kyle Rames is a developer advocate for Rackspace specializing in Ruby and Ruby on Rails. In this role, he helps maintain Ruby gems that utilize the Rackspace Cloud. He is a top committer to the fog and the liaison between Rackspace and the Ruby community. Outside of work, he enjoys traveling, barbecuing and spending time with his two dachshunds. Kyle and his wife, Jennifer, welcomed their first child into the world in April 2013.

![Profile picture](./profile_picture.jpg)

- [My website](http://kylerames.com)
- [My twitter](https://twitter.com/krames)
- [Past talk slides](http://www.slideshare.net/kylerames/cutting-through-the-fog-of-cloud-24385474)
- [Past talk video](http://www.confreaks.com/videos/2592-lonestarruby2013-cutting-through-the-fog-of-cloud)",
62,Dear Everyone: Let's Contribute to Open Source!,"It has been a while since I started contributing to open source, and I have to say that the starting process is not really that smooth. Every time I'm giving a talk at several places, people was keep asking me on how I started contributing to an open source. I believe There are a lot of things you need to do to get started, and you might probably get tired of it and give up if you didn't get it right the first time. I'd like this talk to encourage and inspire more people to contribute to an open source project, by giving them the idea on how to get started and how it should be done.
Also, as a maintainer of two gems, I think I would like to spread the word as well on how to lower the barrier to contribution. That way, new people could easily get started when they wanted to contribute back to the community, like I did.","# Dear Everyone: Let's Contribute to Open Source!

Hey You. Yes You. How long has it been since you started using Ruby? It has
been a while, right? And you think it's time for you to giving back to the
community, right? Great, let's talk!

In this talk, we'll discuss about the ultimate question: ""How can I contribute
to an Open Source"". I'll tell you about how to properly started contributing to
a project, how to find something to do, how to write a good patch that will
make the maintainers fall in love with you (or, say, merge your patch in), and
what not to do while submit your patches. Also, if you have your own gem, I'm
going to talk about what you should do to make the contribution process easier,
lowering the barrier to entry, and how to make the contributor constantly
contributing to your project.

## Prem Sichanugrist

Prem is a developer working at thoughtbot in Boston, MA. He started using Ruby
and Ruby on Rails since 2007 and fell in love with it. He started contributing
to Ruby on Rails and several projects around it in 2009 and becoming a pretty
well-known open source contributor after he has learned the gist of it. He is
currently one of the maintainers of Appraisal and Paperclip.


![Profile picture](https://1.gravatar.com/avatar/f1c4a3bb1606cc4a61711e61e2fe6146?r=x&s=440)

- [My Twitter](https://twitter.com/sikachu)
- [Past talk slides](https://speakerdeck.com/sikachu) on Speaker Deck
- Past talk videos:
    - [You have to test multiple versions of your gem's dependencies. You used Appraisal. It's super affective!](http://vimeo.com/69748748) - RubyKaigi 2013
    - [Zero-downtime payment platforms](http://www.confreaks.com/videos/2481-railsconf2013-zero-downtime-payment-platforms) - RailsConf 2013
    - [What to expect in Rails 4.0](http://bostonrb.org/presentations/what-to-expect-in-rails-40) - BostonRB Meetup, September 2012",
63,Building for iOS and OS X with Ruby (RubyMotion is Awesome!),"The world of developing iOS and OS X applications can be a scary one. Objective-C is a bizzare looking language for most Ruby developers, Xcode is a complex tool and learning to use all the parts you need can be really hard, and then there is the frameworks... THERE IS SO MANY OF THEM!

We can get past this though, and bring our amazing Ruby skills to make things for those shiny Apple products we love so much. RubyMotion has opened up a whole new world of opportunities, and it's terminal workflow means you get to avoid Xcode for almost everything. All that's left is for me to show you how to get setup, show you the tools, give you an introduction to the frameworks and wrappers we can use, and show you places to learn more.","# Building for iOS and OS X with Ruby (RubyMotion is Awesome!)

The world of developing iOS and OS X applications can be a scary one. Objective-C is a bizzare looking language for most Ruby developers, Xcode is a complex tool and learning to use all the parts you need can be really hard, and then there is the frameworks... THERE IS SO MANY OF THEM!

We can get past this though, and bring our amazing Ruby skills to make things for those shiny Apple products we love so much. RubyMotion has opened up a whole new world of opportunities, and it's terminal workflow means you get to avoid Xcode for almost everything. All that's left is for me to show you how to get setup, show you the tools, give you an introduction to the frameworks and wrappers we can use, and show you places to learn more.

## Jack Watson-Hamblin (a.k.a FluffyJack)

Jack spends most of his days contracting with agencies and companies building all kinds of goodies for all sorts of platforms. He is currently contracting to NBN Co, the company behind the National Broadband Network rollout, on their continuous improvement team for the website and online forms.

He has recently begun creating screencasts about his adventures with RubyMotion, and has found a small group of 20 subscribers together to help him get the screencasts focused on the important topics and on important ""features"" of the screencast, like every episode being done using behavior driven development.

![Profile picture](https://raw.github.com/FluffyJack/rubyconfau-2014-cfp/master/talk-jack_watson_hamblin-building_for_ios_and_osx_with_ruby_rubymotion_is_awesome/profile_picture.jpg)

- [My website](http://www.fluffyjack.com)
- [My twitter](https://twitter.com/FluffyJack)",
64,Go for the Rubyist,"Why are so many Rubyists buzzing about Go? This hot new language that grew out of Google just a few years ago is taking the world by storm and is generating a lot of buzz in the Ruby community.

In this talk we'll look at the highlights of Go and try and figure out what the hype is all about, and we'll do with a keen Rubyist eye. We'll also look at where it would make sense in our Ruby/Rails projects to extend them with this highly concurrent, and performant language.

What do you say my fellow Rubyists; are you up for the challenge of learning something a bit different?","# Go for the Rubyist

Why are so many Rubyists buzzing about Go? This hot new language that grew out of Google just a few years ago is taking the world by storm and is generating a lot of buzz in the Ruby community.

In this talk we'll look at the highlights of Go and try and figure out what the hype is all about, and we'll do with a keen Rubyist eye. We'll also look at where it would make sense in our Ruby/Rails projects to extend them with this highly concurrent, and performant language.

What do you say my fellow Rubyists; are you up for the challenge of learning something a bit different?

## Mark Bates

Mark Bates is the founder and chief architect of the Boston, MA based consulting company, Meta42 Labs. Mark spends his days focusing on new application development and consulting for his clients. At night he writes books, raises kids, and occasionally he forms a band and “tries to make it”. In 2009 Mark’s first (surprisingly not his last!) book, “Distributed Programming with Ruby”, was published by Addison-Wesley. In 2012 Addison-Wesley published Mark’s second book, “Programming in CoffeeScript”.

![Profile picture](http://www.gravatar.com/avatar/c6f2229ca2c8dcf0176f036508ec2c3b.png?s=500)

- [My website](http://www.metabates.com)
- [My twitter](https://twitter.com/markbates)
- [Past talk slides](http://example.com)
- [Past talk video](http://confreaks.com/videos/2617-btvruby2013-keynote-get-better)",
65,Security Engineering in Ruby,"Believe it or not, proper application security isn't just for banks or the NSA. Recent high-profile attacks have cost web companies millions of dollars and thousands of users. These attacks beg the question, how should you protect your business and customers? You are probably salting your hashes and encrypting your traffic already, but there are much more fundamental elements of Ruby application security that you should employ throughout the development process.

Rather than dive into specifics like what-is-ssl or what-is-the-most-secure-hash-function, I will cover the most important tenets of security engineering such as educating your team, identifying attack surfaces, and utilizing the principle of least privilege--just to name a few. After explaining why a tenet is vital, I will show you how to apply it to your Ruby development processes.","# Security Engineering in Ruby

Believe it or not, proper application security isn't just for banks or the NSA.
Recent high-profile attacks have cost web companies millions of dollars and
thousands of users. These attacks raise the question, how should you protect your
business and customers? You are probably salting your hashes and encrypting your
traffic already, but there are much more fundamental elements of Ruby application
security that you should employ throughout the development process.

Rather than dive into specifics like what-is-ssl or
what-is-the-most-secure-hash-function, I will cover the most important tenets of
security engineering such as educating your team, identifying attack surfaces,
and utilizing the principle of least privilege--just to name a few. After
explaining why a tenet is vital, I will show you how to apply it to your Ruby
development processes.

This talk is aimed at Ruby developers of any level. You will come out of this
talk knowing the core principles of security engineering and how to bring this
knowledge back and implement on your dev team.


## Neal Kemp

Neal is an independent consultant who slings Ruby code for a variety of clients.
In the past, he has worked as a developer at thoughtbot and ZURB. Neal's composition
is one part developer one part hacker. He has been developing on the web
since marquees were cool, and his interest in security started when he began
exploiting vulnerabilities on Myspace for fun.

He hails from Iowa where he had the choice between yanking
[tassels](en.wikipedia.org/wiki/Detasseling) off of corn
and yanking lines in VIM. While he has done both, he has decided to stick with
the latter. When he's not writing code in a dark basement, you can find him
cycling, climbing, or travelling.

![Profile
picture](https://1.gravatar.com/avatar/ef35ff4cb6607221d907af8a106e305a?s=300)

- [My Website](http://nealke.mp)
- [My Twitter](https://twitter.com/Neal_Kemp)
- [My GitHub](https://github.com/NealKemp)",
66,Intro to Graph Databases,"Graph databases have increasingly become more popular when operating on highly interconnected data sets such as social network graphs and data powering recommendation engines.
Working with Ruby and some of the more popular graph databases, we will cover the definition of a graph database and explore some common scenarios in which graph databases can really shine over their traditional SQL and noSQL counterparts.","#Intro to Graph Databases
Graph databases have increasingly become more popular when operating on highly interconnected data sets such as social network graphs and data powering recommendation engines.

Working with Ruby and some of the more popular graph databases, we will cover the definition of a graph database and explore some common scenarios in which graph databases can really shine over their traditional SQL and noSQL counterparts.

## Mark Mandel

Mark Mandel has been a full time consultant for quite a number of years, and writing software for well over a decade. He built his career mainly on ColdFusion, but over the past few years has been transitioning much of his work over to JRuby as well as dabbling further in various other languages on the JVM.

When he's not too busy coding (at work, or on the side) he enjoys training martial arts in a wide variety of disciplines and reading way too much fantasy literature.

![Profile picture](profile_picture.jpg)

- [My website](http://www.compoundtheory.com/)
- [My twitter](http://twitter.com/neurotic)
- [Past talk slides as cf.Objective 2012](https://github.com/markmandel/closureonclosures)
- [Past talk slides at cf.Objective 2011](http://prezi.com/euocvk1tfuvm/aop-for-you-and-me/)
- [Past talk video at Adobe MAX 2009](http://tv.adobe.com/watch/max-2009-develop/coldfusion-for-java-developers/)

(Sorry for the ColdFusion presentation links, they are the only presentations I have available online).",
67,Writing Games with Entity Systems and JRuby,"Entity Systems are a relatively new style of software development that came out of the game industry to avoid some of the common architectural pitfalls of Object Oriented programming when developing games, and attempt to provide a much cleaner separation between aspects such as rendering, physics, AI and other parts of a game's ecosystem.
In this talk we'll live code a simple game with JRuby and libGDX and provide it with some interactivity and physics so you can get a feel for how Entity Systems work, and inspire you with your own game architectures.  Not only limited to games, this talk should also make you think about how you design other types of software that have a view layer powered by a highly dynamic data set.","#Writing Games with Entity Systems and JRuby
Entity Systems are a relatively new style of software development that came out of the game industry to avoid some of the common architectural pitfalls of Object Oriented programming when developing games, and attempt to provide a much cleaner separation between aspects such as rendering, physics, AI and other parts of a game's ecosystem.

In this talk we'll live code a simple game with JRuby and libGDX and provide it with some interactivity and physics so you can get a feel for how Entity Systems work, and inspire you with your own game architectures.  Not only limited to games, this talk should also make you think about how you design other types of software that have a view layer powered by a highly dynamic data set.

## Mark Mandel

Mark Mandel has been a full time consultant for quite a number of years, and writing software for well over a decade. He built his career mainly on ColdFusion, but over the past few years has been transitioning much of his work over to JRuby as well as dabbling further in various other languages on the JVM.

When he's not too busy coding (at work, or on the side) he enjoys training martial arts in a wide variety of disciplines and reading way too much fantasy literature.

![Profile picture](profile_picture.jpg)

- [My website](http://www.compoundtheory.com/)
- [My twitter](http://twitter.com/neurotic)
- [Past talk slides as cf.Objective 2012](https://github.com/markmandel/closureonclosures)
- [Past talk slides at cf.Objective 2011](http://prezi.com/euocvk1tfuvm/aop-for-you-and-me/)
- [Past talk video at Adobe MAX 2009](http://tv.adobe.com/watch/max-2009-develop/coldfusion-for-java-developers/)

(Sorry for the ColdFusion presentation links, they are the only presentations I have available online).",
68,Teach Your Way To Better Code.,How teaching everything you know actually makes you a better developer.,"# Teach Your Way To Better Code

You may have this vague sense that you don't know Ruby as well as you think you do.
And you worry that you're not learning and growing as a developer in your day job
as much as you did when you first picked up Ruby. Perhaps you've lost that spark
of excitement you experienced when you discovered new ways to solve problems with Ruby.

There is a way to re-invigorate your code and coding practices. Teach everything you know.

This talk will focus on some of the principals of teaching and why it can be an effective
tool, not only for others to learn, but for you as the teacher to really deepen your
knowledge of the subject. It will be specifically centered around using Ruby, and some of
the ways I have discovered work well for teaching it as a first programming language.

## My Name

My name is [Felix Clack](http://felixclack.com), I run a class called [Rails Kickstart](http://railskickstart.com),
which is delivered online and also in person via [General Assembly](http://generalassemb.ly) in London.

After 6 years building products for numerous startups as a consultant, I discovered a passion for teaching
that has made me into a better developer. I hope that I can pass on some of that passion for you to discover
for yourself the benefits of teaching everything you know.

![Profile picture](https://raw.github.com/rubyaustralia/rubyconfau-2014-cfp/master/teach-your-way-to-better-code/felix_clack.png)

- [My website](http://felixclack.com)
- [My twitter](https://twitter.com/felixclack)
- [Past talk slides](http://speakerdeck.com/felix/cucumber-is-not-for-testing)",
69,Event Based Programming with Vert.x and JRuby,"[Vert.x](http://vertx.io/) is a polyglot, lightweight, high performance application platform for the JVM that provides a non blocking, asynchronous event based programming model in a simple and scalable way.
In this talk we will look at how you can take your regular Ruby code and Gems and combine them with Vert.x's module system to build a highly concurrent system without leaving your favourite language.
","#Event Based Programming with Vert.x and JRuby
[Vert.x](http://vertx.io/) is a polyglot, lightweight, high performance application platform for the JVM that provides a non blocking, asynchronous event based programming model in a simple and scalable way.

In this talk we will look at how you can take your regular Ruby code and Gems and combine them with Vert.x's module system to build a highly concurrent system without leaving your favourite language.

## Mark Mandel

Mark Mandel has been a full time consultant for quite a number of years, and writing software for well over a decade. He built his career mainly on ColdFusion, but over the past few years has been transitioning much of his work over to JRuby as well as dabbling further in various other languages on the JVM.

When he's not too busy coding (at work, or on the side) he enjoys training martial arts in a wide variety of disciplines and reading way too much fantasy literature.

![Profile picture](profile_picture.jpg)

- [My website](http://www.compoundtheory.com/)
- [My twitter](http://twitter.com/neurotic)
- [Past talk slides as cf.Objective 2012](https://github.com/markmandel/closureonclosures)
- [Past talk slides at cf.Objective 2011](http://prezi.com/euocvk1tfuvm/aop-for-you-and-me/)
- [Past talk video at Adobe MAX 2009](http://tv.adobe.com/watch/max-2009-develop/coldfusion-for-java-developers/)

(Sorry for the ColdFusion presentation links, they are the only presentations I have available online).",
70,Using Rubytus to power resumable file uploads for your API,Using Rubytus to power resumable file uploads for your API,"# Rubytus: Resumable File Uploads with Tus.io
Users want to share more and more photos and videos. But mobile networks are fragile. Platform APIs are a mess. Every project builds its own file uploader. [Tus.io](http://tus.io) is an open protocol to fix the mess that developers are facing developing APIs for mobile.

Rubytus is a ruby gem, built by the team at [PicoCandy](http://picocandy.com), that implements the tus server protocol built on top of Goliath, a non-blocking (asynchronous) Ruby web server framework.

Resumable file upload should just work in the 21st century and developers shouldn't have to worry resuming file uploads from their web and mobile apps. In the 45 minutes that Khang has, he will introduce the Tus protocol and talked about the development of Rubytus. Finally, Khang will show how you can integrate Rubytus into your API using [Grape](https://github.com/intridea/grape).

## Khang Toh

Khang is a Rubyist and have been developing web apps since 2007 using Rails. When Apple released their phone in 2009, Khang started building Web APIs using Ruby/Rails that's consumed by dozens of mobile apps out in the wild. In his spare time, Khang contributes to open source projects and [builds stuff](https://github.com/picocandy/rubytus) with the goal of helping other developers.

![Profile picture](https://raw.github.com/khangtoh/rubyconfau-2014-cfp/master/talk-khang_toh-rubytus_Resumable_file_uploads_with_tusio/profile_picture.jpg)

- [My website](https://github.com/khangtoh)
- [My twitter](https://twitter.com/khangtoh)
- [Past talk slides](http://www.slideshare.net/khangtoh/tusio-i-osdevscout)",
71,Search and You Will Find,"Resubmitting just to make things easier.
![fist-bump](https://f.cloud.github.com/assets/126967/1445380/3a826358-421f-11e3-9aa7-0e24bb578071.gif)
","## Search and You Will Find
### Information Retrieval in your web app
In modern applications, search is becoming a feature which users come to
expect. Not only that, having been spoiled by google pouring money at the
problem of search, users expect search to perform well.

Being rubyists and not information retrieval specialists, it can be hard to work
out why our chosen search solution doesn't work like we expect it to. Be it Sphinx, 
Solr, ElasticSearch, Postgres fulltext or `SELECT ... LIKE` queries that's not
always our jam and it can seem a bit like a dark art.

This talk goes into some first principles of information retrieval and at the
other end we will have a firm grounding in how to apply these practically to
whatever search solution you use to improve the experience of your users.

We'll use real-world examples, do some live demos and work through some user
stories in our journey towards better search.

Topics include:
 - Recall vs precision
 - Useful measures of quality
 - Tokenisation and analysis
 - Autocomplete/Typeahead
 - Ranking and scoring
 - Query parsing
 - Filtering
 - Context awareness

## Andrew Harvey

Andrew is a coffee powered automaton of unknown origins. He is most often
found in Sydney, working on various webby challenges. He likes vim, git, ruby
and is often found organising Ruby and Rails meetups in Sydney.

![Profile picture](https://raw.github.com/mootpointer/rubyconfau-2014-cfp/master/talk-andrew_harvey-search_and_you_will_find/profile_picture.jpg)

- [mootpointer.com](http://mootpointer.com)
- [@mootpointer](https://twitter.com/mootpointer)
- [mootpointer on Github](https://github.com/mootpointer)
- [Test Driven Search Development](http://www.slideshare.net/mootpointer/rorosyd-test-driven-search-development) (rorosyd)
- [Coffee Science](http://www.youtube.com/watch?v=XlUaL_cxXIc) (Ignite Sydney 10)
- [Teaching an Old Dog New Tricks](http://www.youtube.com/watch?v=4T24oUPPaFI&feature=player_embedded#t=2002) (RailsConf 2013 Lightning Talk)",
72,First Commit: Getting into open source,"![nodding](https://f.cloud.github.com/assets/126967/1445387/5a7c9994-421f-11e3-8543-dab3e66534f7.gif)
","## First Commit:
### Getting into open source

Open source software is a wonderful thing, but it's a daunting idea as you
start out. In this talk we'll look at different ways of getting into open
source and how to do it well.

There will be stories about how prominent open source contributors started out,
and feedback from project maintainers. We'll also take time to cover open source
ettiquette and how to make the most valuable contributions no matter whether
you're a green horn or an old hand.

## Andrew Harvey

Andrew is a coffee powered automaton of unknown origins. He is most often
found in Sydney, working on various webby challenges. He likes vim, git, ruby
and is often found organising Ruby and Rails meetups in Sydney.

![Profile picture](https://raw.github.com/mootpointer/rubyconfau-2014-cfp/search/talk-andrew_harvey-search_and_you_will_find/profile_picture.jpg)

- [mootpointer.com](http://mootpointer.com)
- [@mootpointer](https://twitter.com/mootpointer)
- [mootpointer on Github](https://github.com/mootpointer)
- [Test Driven Search Development](http://www.slideshare.net/mootpointer/rorosyd-test-driven-search-development) (rorosyd)
- [Coffee Science](http://www.youtube.com/watch?v=XlUaL_cxXIc) (Ignite Sydney 10)
- [Teaching an Old Dog New Tricks](http://www.youtube.com/watch?v=4T24oUPPaFI&feature=player_embedded#t=2002) (RailsConf 2013 Lightning Talk)",
73,Andrew Harvey - Hammer People,"![tumblr_md1tjfyr3b1qgqj2zo1_500](https://f.cloud.github.com/assets/126967/1445394/905c101c-421f-11e3-8861-87a2168f9230.gif)
","## Hammer People:
### Things I've Learned From Talking to Rubyists

Rubyists are an interesting bunch. Even in our name is an interesting fact: we
identify ourselves by our tool. It's like calling ourselves hammer people.

In this talk, we'll look at some of the things about the Ruby community that
make it a wonderful community and some things that we could do to work on.
Based mostly on stories and from interviews collected in the last year, we'll
be embracing what it is to be a Rubyist, and how that might change.

## Andrew Harvey

Andrew is a coffee powered automaton of unknown origins. He is most often
found in Sydney, working on various webby challenges. He likes vim, git, ruby
and is often found organising Ruby and Rails meetups in Sydney.

![Profile picture](https://raw.github.com/mootpointer/rubyconfau-2014-cfp/search/talk-andrew_harvey-search_and_you_will_find/profile_picture.jpg)

- [mootpointer.com](http://mootpointer.com)
- [@mootpointer](https://twitter.com/mootpointer)
- [mootpointer on Github](https://github.com/mootpointer)
- [Test Driven Search Development](http://www.slideshare.net/mootpointer/rorosyd-test-driven-search-development) (rorosyd)
- [Coffee Science](http://www.youtube.com/watch?v=XlUaL_cxXIc) (Ignite Sydney 10)
- [Teaching an Old Dog New Tricks](http://www.youtube.com/watch?v=4T24oUPPaFI&feature=player_embedded#t=2002) (RailsConf 2013 Lightning Talk)",
74,Freelancing and Open Source talk proposal,"Software freelancing can be a great deal of fun but it can also be all consuming.
The ability to work as much or as little as you need to can lead to extremes in each direction, either at the cost of profitability or at the exclusion of any open source at all.
In this talk I will discuss strategies that I have used to manage my time more effectively and maintain a positive work and life balance.  This will include the tools that I use, the processes that I try to follow and the attempts that I've made to separate the expectations and the disappointments of the open source software projects' users from my personal wellbeing while also remaining interested and motivated.","# Freelancing and open source

Software freelancing can be a great deal of fun but it can also be all consuming.
The ability to work as much or as little as you need to can lead to extremes in each direction, either at the cost of profitability or at the exclusion of any open source at all.

In this talk I will discuss strategies that I have used to manage my time more effectively and maintain a positive work and life balance.  This will include the tools that I use, the processes that I try to follow and the attempts that I've made to separate the expectations and the disappointments of the open source software projects' users from my personal wellbeing while also remaining interested and motivated.

## Philip Arndt

Philip is a software consultant working with local and global clients while living in Christchurch, New Zealand.  He has been working this way for over 5 years and has learned a few things along the way.  He has also authored and maintained a number of popular and non popular open source libraries, many of which by accident or happenstance. Philip has helped to organise a number of events including a few [Rails Camps](http://railscamps.com) in New Zealand.

![Profile picture](http://gravatar.com/avatar/1d676127a3e4c0531e2d37dabef0a12d?s=500&.png)

- [My website](http://p.arndt.io)
- [My twitter](https://twitter.com/parndt)
- [Past talk slides](http://slid.es/parndt)",
75,It's just...,"It's just a quick fix’
‘It's just software’
‘It's just…'

How many times have we heard an employer, client or co-worker utter those famous last words, ‘It's just…' this, ‘It's just…’ that, when talking about the latest change they wish to make to our already creeking or over-burdened application.

But what if it was?

In the age of Ruby growing pains and monolithic Rails applications, smaller
is better. Let's talk about how breaking things down into smaller units, smaller
services and components brings us benefits. Examine how we can use composition
not inheritance or mixins to build smaller classes, faster tests and better
designed applications.","It's just a quick fix’
‘It's just software’
‘It's just…'

How many times have we heard an employer, client or co-worker utter those famous last words, ‘It's just…' this, ‘It's just…’ that, when talking about the latest change they wish to make to our already creeking or over-burdened application.

But what if it was?

In the age of Ruby growing pains and monolithic Rails applications, smaller
is better. Let's talk about how breaking things down into smaller units, smaller
services and components brings us benefits. Examine how we can use composition
not inheritance or mixins to build smaller classes, faster tests and better
designed applications.

## Jon Rowe

Tinker. Sailor. Developer. Spy? Originally from a tiny cold island nation,
Britain, Jon now lives in Sydney where he spends time sailing the high seas,
plotting and working as a gun for hire, I mean freelance Ruby developer.

When not working on client work you can find Jon hacking on RSpec (as a core
contributor), helping other open source projects and working on his own little
side project(s).

![Profile picture](./profile_picture.jpg)

- [jonrowe.co.uk](http://jonrowe.co.uk)
- [@jonrowe](https://twitter.com/JonRowe)
- [Past talk slides](https://speakerdeck.com/jonrowe)
- [Past talk video: RoRoSyd Talk (Abusing the Router)](http://vimeo.com/62675282)
- [Past talk video: RubyConfAU '13 Lightning Talk (Black / White)](http://vimeo.com/61342270)",
76,Radioactive Hamsters,Talk about Capybara's internals.,"# Radioactive Hamsters

Capybara shows up in many toolkits, taking away the pain and verbosity of functional testing.  It's a fantastic tool... But do you know _how it works_?

Let's explore Capybara together!  We'll see the driver lifecycle, learn how the DSL is interpreted, and ~~steal~~learn some of the clever code tricks to use for ourselves.  We'll also look at creating custom drivers, and some of the hurdles faced when extending the Capybara DSL or features.

Capybara is flexible, powerful and full of elegant, clever code.  I learned a great deal from integrating with it -- You will too.

## Dylan Lacey

Dylan still isn't sure what he wants to be when he grows up, but has managed to narrow it down to 'make things and help people'. He's worked in web development his entire career, skipping from test engineer to lead developer and most things in between.  He works at (Sauce Labs)[http://www.saucelabs.com] as their Ruby developer evangelist, maintaining the sauce_ruby gem and Capybarium.

He finds TV too passive and movies too boring, so you can find him playing videogames, keeping bees, planning unlikely hacker projects and having adventures. That's when he's not biting off more then he can chew (excuse the pun) by cooking elaborate meals for his friends, family, and anyone else who gives him an excuse

![Profile picture](https://raw.github.com/rubyaustralia/rubyconfau-2014-cfp/master/talk-dylan_lacey-radioactive_hamsters/profile_picture.jpg)

- [My website](http://d-flat.dylanlacey.com)
- [My twitter](https://twitter.com/dylanlacey)
- [But I Know What I Like! - Abstraction is the Key to Automation](http://spring2013.stpcon.com/handouts/105_Lacey.pdf)
- [Web Testing for Ninjas with Splinter](http://pyvideo.org/video/2237/web-testing-for-ninjas-with-splinter)",
77,Use case driven development,I'm only submitting one talk to this conference because I think this is the most important issue facing our community when it comes to maintainable applications.,"# Application Architecture: Boundaries, Object Rules & Patterns

This talk is about something important in the community. The ruby
community is missing something fundamentally important. We don't know
how to architect applications. We've grown accustomed to using
frameworks for everything and we've lost our way. We no longer talk
about making applications, we speak about applications build _in_
frameworks. Example: oh hey man, did you hear NewApp123 is built _in_
rails? I take offense to that. The application is not built in rails,
it's built in _ruby_ than rails is _used_ to put it online. This
mentality is prevalent in the community. It's damaging and encourages
technical debt.

My talk is about providing a new architecture based on solid OOP
principles such as the boundary between objects, SRP, proper logic
less views, application patterns, and good testing principles. All of
this in name of changing the way we write and maintain applications.

The talk follows this format:

* Introduction
* System Design: Object roles, boundaries, protocols, patterns, and delivery mechanisms
* TDD implementation of use cases, forms, models, and other object roles
* TDD implementation of HTTP delivery mechanism using Sinatra
* Problems withs Rails & Rails style MVC approach to web applications
* The ideal stack: calling out gems that exemplify qualities mentioned earlier
* Wrap up & conclusion
* How to migrate and redesign current systems

Note: the paper will have been published well before the conference.

## Adam Hawkins

Adam is a rubyist, rails guy, and general open source nerd. He loves
to contribute to open source projects he uses as well as write his
own. He scratches his own itches through hisopen source work. When
he’s not coding he travels and enjoys trance in very heavy doses.

![Profile picture](https://raw.github.com/ahawkins/rubyconfau-2014-cfp/master/use-case-driven-development/profile_picture.jpg)

- [My website](http://hawkins.io)
- [My twitter](http://witter.com/ahawkins)
- [Past talk slides](http://www.speakerdeck.com/ahawkins)
- [Past talk video](http://hawkins.io) Video linked where applicable",
78,Talk proposal for Adventures in Creating a Career.,This is a talk providing advice based on my 20 years of experience as a developer.,"# Adventures in Creating a Career

As developers, we're required to be on the very edge of technological innovation to remain competitive and relevant. Managing our technical skills is just something we need to do. But what about managing our careers? How do we put ourselves in the position to take advantage of opportunities without being taken advantage of ourselves? In this talk, Sean will detail lessons learned through his own experiences during his 20-year development career in the hope that you can avoid some of his mistakes.

## Sean Hussey

Sean began programming on his friend's Commodore 64 back before you were wearing short pants. His first job was writing tape backup utilities for IBM System 36 at Northeastern University. Today he's a Professional Expert Generalist, specializing in process improvement and automation. He's spoken at the Boston Ruby Group, the Rakuten Technology Conference, and was an organizer of Boston's first annual Ruby conference, Wicked Good Ruby Conf. When he's not trying to make things better for others through technology, he can be found encouraging his children to explore, create, and to pick up their toys.

![Profile picture](https://raw.github.com/seanhussey/rubyconfau-2014-cfp/master/talk-sean_hussey-adventures_in_creating_a_career/profile_picture.jpg)

- [My twitter](https://twitter.com/seanhussey)
- [Wicked Good Ruby](http://wickedgoodruby.com)
",
